Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.055093,0.00038263,0.083393,0,0,0,61.45,6.7335,0.00012281,0.56894,21.02,-0.014285,21.189,0,0,0,0,0,0,package://historia/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://historia/meshes/base_link.STL,,Base_link-1,Coordinate base System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right_wheel_link,-1.5543E-15,0.085,2.4425E-15,0,0,0,27.504,0.43066,3.2489E-18,-7.2388E-18,0.73819,-7.1284E-20,0.43066,0,0,0,0,0,0,package://historia/meshes/front_right_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://historia/meshes/front_right_wheel_link.STL,,Frontwheel-1,frontright,frontAxe,front_right_wheel_joint,continuous,1.0431,-0.50032,0.061,0,0,0,base_link,0,1,0,100,0,,,,,,,,,,
front_left_wheel_link,0,-0.085,-2.2204E-16,0,0,0,27.504,0.43066,-4.4685E-18,-1.4459E-18,0.73819,-2.0771E-19,0.43066,0,0,0,0,0,0,package://historia/meshes/front_left_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://historia/meshes/front_left_wheel_link.STL,,Frontwheel-2,frontLeft,frontAxe,front_left_wheel_joint,continuous,1.0431,0.49993,0.061,0,0,0,base_link,0,1,0,100,0,,,,,,,,,,
rear_left_wheel_link,0,-0.12,0,0,0,0,48.005,1.0037,1.236E-17,-1.7355E-18,1.5955,-1.9651E-19,1.0037,0,0,0,0,0,0,package://historia/meshes/rear_left_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://historia/meshes/rear_left_wheel_link.STL,,RearWheel-1,rearLeft,backAxe,rear_left_wheel_joint,continuous,-1.0569,0.5001,0.091,0,0,0,base_link,0,1,0,100,0,,,,,,,,,,
rear_right_wheel_link,0,0.12,0,0,0,0,48.005,1.0037,-7.1557E-18,8.897E-19,1.5955,1.7889E-18,1.0037,0,0,0,0,0,0,package://historia/meshes/rear_right_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://historia/meshes/rear_right_wheel_link.STL,,RearWheel-2,rearRight,backAxe,rear_right_wheel_joint,continuous,-1.0569,-0.50021,0.091,0,0,0,base_link,0,1,0,100,0,,,,,,,,,,
front_right_steer_link,1.9984E-15,0.05,0,0,0,0,0.007854,6.5941E-06,2.6431E-20,2.7573E-24,9.8175E-08,-3.2033E-24,6.5941E-06,0,0,0,0,0,0,package://historia/meshes/front_right_steer_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://historia/meshes/front_right_steer_link.STL,,FRONTsteerJoint-3,rightpart,steerAxis,front_right_steer_joint,prismatic,0.97722,-0.32832,0.051213,0,0,0,base_link,0,-1,0,100,0,0,0,,,,,,,,
front_left_steer_link,2.2204E-15,-0.05,0,0,0,0,0.007854,6.5941E-06,2.6431E-20,2.7573E-24,9.8175E-08,-3.2033E-24,6.5941E-06,0,0,0,0,0,0,package://historia/meshes/front_left_steer_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://historia/meshes/front_left_steer_link.STL,,FRONTsteerJoint-1,leftpart,steerAxis,front_left_steer_joint,prismatic,0.97722,0.32694,0.051213,0,0,0,base_link,0,-1,0,100,0,0,0,,,,,,,,
steering_link,-0.0019279,-9.1558E-05,-0.0012714,0,0,0,0.32198,0.0047274,-2.8498E-08,6.2308E-06,0.0019325,3.0079E-08,0.0028608,0,0,0,0,0,0,package://historia/meshes/steering_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://historia/meshes/steering_link.STL,,Sparco Steering Wheel-1,new_wheel,new_wheelAxis,steering_joint,continuous,0.28269,-0.00024936,0.44194,0,0,0,base_link,1,0,0,5,0,,,,,,,,,,
front_camera_link,0.059799,-0.0013168,1.1692,0,0,0,0.040716,3.2796E-05,3.834E-08,-2.8496E-06,1.0051E-05,-9.5815E-09,2.7821E-05,0,0,0,0,0,0,package://historia/meshes/front_camera_link.STL,0.59216,0.66667,0.68235,1,0,0,0,0,0,0,package://historia/meshes/front_camera_link.STL,,oak_d.stp-1,Coordinate base System,,front_camera_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_camera_link,-0.23976,0.37174,1.1241,0,0,0,0.040716,1.0052E-05,-1.6285E-08,8.1977E-08,3.0506E-05,-3.7774E-06,3.011E-05,0,0,0,0,0,0,package://historia/meshes/left_camera_link.STL,0.59216,0.66667,0.68235,1,0,0,0,0,0,0,package://historia/meshes/left_camera_link.STL,,oak_d.stp-5,Coordinate base System,,left_camera_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
